Uuid,name,criteria,evaluator,message,priority,enabled,tags,description
dedee9d0-3410-4ab0-941a-dd9b28ee2ea4,Paciente no identificado,select p.patient_id from patient p join person_attribute pa on pa.person_id = p.patient_id and pa.voided = 0 join person_attribute_type pat on pat.person_attribute_type_id = pa.person_attribute_type_id where p.voided = 0 and pat.uuid = '8b56eac7-5c76-4b9c-8c6f-1deab8d3fc47' and lower(pa.value) = 'true',org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Paciente no identificado,risk,true,Identificación de emergencia,Visible cuando el registro fue creado como paciente no identificado o con identidad no verificada
780f8364-5cda-465b-a12e-dabcc0e0dbb1,Datos de identidad pendientes,"select p.patient_id from patient p join person_attribute pa on pa.person_id = p.patient_id and pa.voided = 0 join person_attribute_type pat on pat.person_attribute_type_id = pa.person_attribute_type_id where p.voided = 0 and pat.uuid = '787f1ea9-1792-45e5-9076-699b1a0638cb' and pa.value in ('pending', 'partial')",org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Datos de identidad pendientes,info,true,Identificación de emergencia,Visible cuando la identificación del paciente sigue pendiente o parcial
2a303888-2642-4ba8-a2e9-df6c47bef067,Paciente incapaz de comunicarse,"select p.patient_id from patient p join person_attribute pa on pa.person_id = p.patient_id and pa.voided = 0 join person_attribute_type pat on pat.person_attribute_type_id = pa.person_attribute_type_id where p.voided = 0 and pat.uuid = 'ee0fb3c8-0432-4035-97c1-e2315d347310' and pa.value in ('unconscious', 'comatose', 'disoriented', 'non_verbal')",org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Paciente incapaz de comunicarse,risk,true,Identificación de emergencia,Visible cuando el paciente no puede brindar datos o consentimiento por condición de comunicación
0a9c4d7e-97a5-4fe5-8442-a4850b8c4d05,Requiere responsable,"select p.patient_id from patient p where p.voided = 0 and (exists (select 1 from person_attribute pa join person_attribute_type pat on pat.person_attribute_type_id = pa.person_attribute_type_id where pa.person_id = p.patient_id and pa.voided = 0 and pat.uuid = '8b56eac7-5c76-4b9c-8c6f-1deab8d3fc47' and lower(pa.value) = 'true') or exists (select 1 from person_attribute pa join person_attribute_type pat on pat.person_attribute_type_id = pa.person_attribute_type_id where pa.person_id = p.patient_id and pa.voided = 0 and pat.uuid = 'ee0fb3c8-0432-4035-97c1-e2315d347310' and pa.value in ('unconscious', 'comatose', 'disoriented', 'non_verbal'))) and not exists (select 1 from person_attribute pa join person_attribute_type pat on pat.person_attribute_type_id = pa.person_attribute_type_id where pa.person_id = p.patient_id and pa.voided = 0 and pat.uuid = '4697d0e6-5b24-416b-aee6-708cd9a3a1db' and trim(pa.value) <> '')",org.openmrs.module.patientflags.evaluator.SQLFlagEvaluator,Requiere responsable,risk,true,Identificación de emergencia,Visible para registros antiguos o incompletos que no tienen responsable administrativo registrado
